EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1805,106999,GRIZEDALE                               ,GB,+54:20:17,-003:01:12,  91, TG5,19600118,20070429,   35,National Climate Information Centre (UKMO)        
 1806,107000,PRESTON: MOOR PARK                      ,GB,+53:46:26,-002:42:11,  33, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1807,107001,HAWARDEN BRIDGE                         ,GB,+53:13:00,-003:01:38,   5, TG5,19210102,20041230,   35,National Climate Information Centre (UKMO)        
 1808,107002,LOGGERHEADS: COLOMENDY CENTRE           ,GB,+53:09:00,-003:11:46, 210, TG5,19601201,20040628,   35,National Climate Information Centre (UKMO)        
 1809,107003,INVERNESS                               ,GB,+57:29:13,-004:13:23,   4, TG5,19600101,20130131,   35,National Climate Information Centre (UKMO)        
 1810,107004,ABERPORTH                               ,GB,+52:08:20,-004:34:19, 133, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1811,107005,GOGERDDAN                               ,GB,+52:25:55,-004:01:12,  31, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1812,107006,YEOVILTON                               ,GB,+51:00:22,-002:38:24,  20, TG5,19640902,20250131,   35,National Climate Information Centre (UKMO)        
 1813,107007,SWANAGE                                 ,GB,+50:36:50,-001:57:29,  10, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1814,107008,PLYMOUTH: MOUNTBATTEN                   ,GB,+50:21:14,-004:07:16,  50, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1815,107009,SLAPTON                                 ,GB,+50:17:31,-003:39:04,  32, TG5,19600501,20250130,   35,National Climate Information Centre (UKMO)        
 1816,107010,ST MAWGAN                               ,GB,+50:26:13,-004:59:56, 103, TG5,19600101,20081130,   35,National Climate Information Centre (UKMO)        
 1817,107011,BUDE                                    ,GB,+50:49:41,-004:32:46,  15, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1818,107012,BRAEMAR                                 ,GB,+57:00:22,-003:23:49, 339, TG5,19600101,20050430,   35,National Climate Information Centre (UKMO)        
 1819,107013,BALMORAL                                ,GB,+57:02:13,-003:13:12, 283, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1820,107014,HILLSBOROUGH                            ,GB,+54:27:07,-006:04:12, 116, TG5,19600101,20240725,   35,National Climate Information Centre (UKMO)        
 1821,107015,STORMONT CASTLE                         ,GB,+54:36:11,-005:49:44,  56, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1822,107016,LOUGH NAVAR FOREST                      ,GB,+54:26:20,-007:54:11, 126, TG5,19610901,20250118,   35,National Climate Information Centre (UKMO)        
 1823,107017,GUERNSEY: AIRPORT                       ,GB,+49:25:59,-002:36:00, 101, TG5,19600102,20250131,   35,National Climate Information Centre (UKMO)        
 1824,107018,JERSEY: AIRPORT                         ,GB,+49:13:01,-002:12:00,  84, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1825,107019,DYCE                                    ,GB,+57:12:18,-002:12:14,  65, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1826,107020,ALWEN                                   ,GB,+53:03:40,-003:33:14, 345, TG5,19600101,20231031,   35,National Climate Information Centre (UKMO)        
 1827,107021,TIREE                                   ,GB,+56:29:49,-006:53:13,   9, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1828,107022,ARDTALNAIG                              ,GB,+56:31:44,-004:06:40, 130, TG5,19600101,20170831,   35,National Climate Information Centre (UKMO)        
 1829,107023,FASKALLY                                ,GB,+56:43:05,-003:46:08,  94, TG5,19600101,20210820,   35,National Climate Information Centre (UKMO)        
 1830,107024,LEUCHARS                                ,GB,+56:22:37,-002:51:43,  10, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1831,107025,PENICUIK                                ,GB,+55:49:26,-003:13:34, 185, TG5,19600101,20221229,   35,National Climate Information Centre (UKMO)        
 1832,107026,EDINBURGH: ROYAL BOTANIC GARDEN         ,GB,+55:58:01,-003:12:36,  26, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1833,107027,DUNBAR                                  ,GB,+56:00:14,-002:31:34,  23, TG5,19600101,20250130,   35,National Climate Information Centre (UKMO)        
 1834,107028,BLYTH BRIDGE                            ,GB,+55:42:11,-003:22:01, 253, TG5,19600101,20060410,   35,National Climate Information Centre (UKMO)        
 1835,107029,BOWHILL                                 ,GB,+55:32:28,-002:54:18, 168, TG5,19600101,20230610,   35,National Climate Information Centre (UKMO)        
 1836,107030,KIELDER CASTLE                          ,GB,+55:14:02,-002:34:44, 201, TG5,19600101,20230316,   35,National Climate Information Centre (UKMO)        
 1837,107031,MORPETH: COCKLE PARK                    ,GB,+55:12:54,-001:41:10,  95, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1838,107032,HIGH MOWTHORPE                          ,GB,+54:06:18,-000:38:31, 175, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1839,107033,SKEGNESS                                ,GB,+53:08:51,+000:20:52,   6, TG5,19040102,20171222,   35,National Climate Information Centre (UKMO)        
 1840,107034,TERRINGTON ST CLEMENT                   ,GB,+52:44:42,+000:17:24,   2, TG5,19600101,20070731,   35,National Climate Information Centre (UKMO)        
 1841,107035,EAST BERGHOLT                           ,GB,+51:57:32,+001:01:37,   7, TG5,19600101,20200319,   35,National Climate Information Centre (UKMO)        
 1842,107036,WATTISHAM                               ,GB,+52:07:23,+000:57:43,  89, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1843,107037,LOWESTOFT                               ,GB,+52:29:22,+001:44:46,  25, TG5,18890103,20041231,   35,National Climate Information Centre (UKMO)        
 1844,107038,ROTHAMSTED                              ,GB,+51:48:22,-000:21:30, 128, TG5,19160103,20250131,   35,National Climate Information Centre (UKMO)        
 1845,107039,WRITTLE                                 ,GB,+51:43:55,+000:25:52,  32, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1846,107040,MALHAM TARN                             ,GB,+54:06:00,-002:09:43, 381, TG5,19600101,20220719,   35,National Climate Information Centre (UKMO)        
 1847,107041,BRADFORD                                ,GB,+53:48:48,-001:46:20, 134, TG5,19110102,20250131,   35,National Climate Information Centre (UKMO)        
 1848,107042,SHEFFIELD                               ,GB,+53:22:51,-001:29:23, 131, TG5,18830102,20250131,   35,National Climate Information Centre (UKMO)        
 1849,107043,BUXTON                                  ,GB,+53:15:27,-001:54:44, 307, TG5,18750102,20250131,   35,National Climate Information Centre (UKMO)        
 1850,107044,NOTTINGHAM: WATNALL                     ,GB,+53:00:18,-001:15:00, 117, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1851,107045,WARSOP                                  ,GB,+53:13:23,-001:06:54,  46, TG5,19600101,20060227,   35,National Climate Information Centre (UKMO)        
 1852,107046,NEWTOWN LINFORD                         ,GB,+52:40:48,-001:12:58, 119, TG5,19600101,20021229,   35,National Climate Information Centre (UKMO)        
 1853,107047,WELLESBOURNE                            ,GB,+52:12:22,-001:36:11,  47, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1854,107048,KEELE                                   ,GB,+52:59:53,-002:16:12, 179, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1855,107049,MALVERN                                 ,GB,+52:06:45,-002:18:25,  62, TG5,19000102,20081031,   35,National Climate Information Centre (UKMO)        
 1856,107050,HALESOWEN                               ,GB,+52:26:13,-002:04:30, 153, TG5,19600101,20041030,   35,National Climate Information Centre (UKMO)        
 1857,107051,KINLOCHEWE                              ,GB,+57:36:47,-005:18:36,  25, TG5,19600101,20241130,   35,National Climate Information Centre (UKMO)        
 1858,107052,LYONSHALL                               ,GB,+52:12:43,-002:58:05, 155, TG5,19600102,20141130,   35,National Climate Information Centre (UKMO)        
 1859,107053,HAMPSTEAD                               ,GB,+51:33:40,-000:10:44, 137, TG5,19600101,20160717,   35,National Climate Information Centre (UKMO)        
 1860,107054,HEATHROW                                ,GB,+51:28:44,-000:26:56,  25, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1861,107055,WYE                                     ,GB,+51:11:06,+000:56:53,  56, TG5,19600101,20060330,   35,National Climate Information Centre (UKMO)        
 1862,107056,MANSTON                                 ,GB,+51:20:46,+001:20:24,  49, TG5,19610102,20250131,   35,National Climate Information Centre (UKMO)        
 1863,107057,BOGNOR REGIS                            ,GB,+50:46:52,-000:40:34,   7, TG5,19600101,20250130,   35,National Climate Information Centre (UKMO)        
 1864,107058,EASTBOURNE                              ,GB,+50:45:42,+000:17:07,   7, TG5,19110102,20241224,   35,National Climate Information Centre (UKMO)        
 1865,107059,HASTINGS                                ,GB,+50:51:18,+000:34:19,  45, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1866,107060,WALLINGFORD                             ,GB,+51:36:11,-001:06:29,  48, TG5,19600401,20041231,   35,National Climate Information Centre (UKMO)        
 1867,107061,HURN                                    ,GB,+50:46:44,-001:50:02,  10, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1868,107062,EVERTON                                 ,GB,+50:44:31,-001:34:26,  16, TG5,19600101,20030929,   35,National Climate Information Centre (UKMO)        
 1869,107063,LECKFORD                                ,GB,+51:07:23,-001:26:17, 117, TG5,19600101,20121230,   35,National Climate Information Centre (UKMO)        
 1870,107064,HAYLING ISLAND                          ,GB,+50:47:02,-000:59:02,   4, TG5,19600101,20241031,   35,National Climate Information Centre (UKMO)        
 1871,107065,ALICE HOLT LODGE                        ,GB,+51:10:37,-000:50:53, 115, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1872,107066,LYNEHAM                                 ,GB,+51:30:07,-001:59:28, 145, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1873,107067,RHUM: KINLOCH                           ,GB,+57:00:50,-006:17:13,   5, TG5,19600101,20091111,   35,National Climate Information Centre (UKMO)        
 1874,107068,BENMORE: YOUNGER BOTANIC GARDEN         ,GB,+56:01:41,-004:59:10,  12, TG5,19600101,20250120,   35,National Climate Information Centre (UKMO)        
 1875,107069,BUTE: ROTHESAY                          ,GB,+55:50:20,-005:03:50,  43, TG5,19600101,20121231,   35,National Climate Information Centre (UKMO)        
 1876,107070,LEADHILLS                               ,GB,+55:25:01,-003:45:32, 393, TG5,19600101,20170924,   35,National Climate Information Centre (UKMO)        
 1877,107071,CARNWATH                                ,GB,+55:42:00,-003:37:59, 208, TG5,19600101,20061031,   35,National Climate Information Centre (UKMO)        
 2115,156839,CARLISLE                                ,GB,+54:56:03,-002:57:44,  28, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
 2127,156835,BOSCOMBE DOWN                           ,GB,+51:09:41,-001:45:11, 126, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
 3507,115808,BRAEMAR-1                               ,GB,+57:00:40,-003:23:46, 327, TG5,20050628,20250131,   35,National Climate Information Centre (UKMO)        
 3508,115812,LOWESTOFT MONKTON AVENUE                ,GB,+52:28:59,+001:43:52,  18, TG5,20050101,20101030,   35,National Climate Information Centre (UKMO)        
11102,156831,BLACKPOOL SQUIRES GATE                  ,GB,+53:46:27,-003:02:17,  10, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11103,156843,CAWOOD                                  ,GB,+53:49:39,-001:08:48,   6, TG5,20130101,20250128,   35,National Climate Information Centre (UKMO)        
11104,156847,CRANWELL                                ,GB,+53:01:51,-000:30:07,  63, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11105,156855,LACOCK                                  ,GB,+51:25:51,-002:06:48,  49, TG5,20130101,20250121,   35,National Climate Information Centre (UKMO)        
11106,156859,LOSSIEMOUTH                             ,GB,+57:42:42,-003:19:19,   7, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11107,156863,MONKS WOOD                              ,GB,+52:24:04,-000:14:07,  41, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11108,156867,MORECAMBE NO 2                          ,GB,+54:04:34,-002:51:30,   7, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11109,156871,PERSHORE COLLEGE                        ,GB,+52:05:59,-002:03:31,  37, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11110,156875,SUTTON BONINGTON                        ,GB,+52:50:10,-001:14:59,  43, TG5,20130101,20250131,   35,National Climate Information Centre (UKMO)        
11111,156879,WIGHT ST CATHERINES POINT               ,GB,+50:34:30,-001:17:44,  20, TG5,20140101,20250131,   35,National Climate Information Centre (UKMO)        
11112,156883,WISLEY                                  ,GB,+51:18:36,-000:28:29,  38, TG5,19040203,20250131,   35,National Climate Information Centre (UKMO)        
11113,156887,WOBURN                                  ,GB,+52:00:51,-000:35:40,  89, TG5,20140101,20250131,   35,National Climate Information Centre (UKMO)        
